country,iso_code,2017,2018
Spain,ES,15872,15618
France,FR,8862,8556
Italy,IT,4160,4325
United States of America,US,3401,3472
Ireland,IE,3422,3218
Portugal,PT,2876,2818
Germany,DE,2909,2813
Netherlands,NL,2660,2716
Poland,PL,2672,2472
Greece,GR,2383,2468
Belgium,BE,1617,1525
Turkey,TR,1228,1425
Romania,RO,1009,1006
Switzerland,CH,955,995
India,IN,1006,980
United Arab Emirates,AE,1016,836
Cyprus,CY,901,745
Mexico,MX,539,715
Malta,MT,519,659
Morocco,MA,587,636
Hungary,HU,669,608
Bulgaria,BG,528,577
Pakistan,PK,605,572
Canada,CA,515,543
Austria,AT,590,537
Czech Republic,CZ,577,500
Denmark,DK,468,434
China,CN,393,427
Sweden,SE,376,409
Thailand,TH,412,386
Lithuania,LT,389,364
Australia,AU,452,356
Norway,NO,305,321
South Africa,ZA,347,316
Jamaica,JM,181,269
Finland,FI,159,235
Hong Kong,HK,176,225
Slovakia,SK,186,189
Egypt,EG,174,178
Tunisia,TN,22,165
Japan,JP,140,146
Sri Lanka,LK,149,140
Nigeria,NG,187,138
Russia,RU,172,105
Barbados,BB,153,102
New Zealand,NZ,144,98
Israel,IL,138,94
Brazil,BR,102,75
Luxembourg,LU,80,51
